Clear Date,Product Code,Symbol,Financial Institutions Long,Financial Institutions Short,Managed Money Long,Managed Money Short,Others Long,Others Short,Physicals Long,Physicals Short,Operators Long,Operators Short,Financial Institutions Long Risk,Financial Institutions Short Risk,Managed Money Long Risk,Managed Money Short Risk,Others Long Risk,Others Short Risk,Physicals Long Risk,Physicals Short Risk,Operators Long Risk,Operators Short Risk,Open Interest
2022-08-05,SPTM,S10TC,6425.0,13213.4,0.0,0.0,2366.5,2525.0,9616.1,2516.5,0.0,0.0,740.0,4210.0,0.0,0.0,0.0,0.0,8523.4,1256.5,0.0,0.0,18407.54
2022-08-12,CPTM,C5TC,22996.23,11425.4,0.0,0.0,3609.68,1671.0,21351.05,24814.95,0.0,0.0,379.34,3165.44,0.0,0.0,0.0,0.0,14475.25,9480.35,0.0,0.0,47958.33
2022-08-12,PTCM,P4TC,24659.25,33168.29,0.0,0.0,10108.7,4694.0,17816.7,11880.05,0.0,0.0,1463.43,4749.94,0.0,0.0,0.0,0.0,7182.35,6652.4,0.0,0.0,52587.66
2022-08-12,SPTM,S10TC,5671.0,12712.0,0.0,0.0,2356.2,2470.0,7499.0,2090.0,0.0,0.0,915.0,4180.0,0.0,0.0,0.0,0.0,6682.0,820.0,0.0,0.0,15525.88
2022-08-19,CPTM,C5TC,19907.22,11953.54,0.0,0.0,0.0,0.0,32429.52,40127.02,0.0,0.0,381.04,3167.46,0.0,0.0,0.0,0.0,21864.02,23420.7,0.0,0.0,52339.44
2022-08-19,PTCM,P4TC,27797.86,19881.5,0.0,0.0,0.0,0.0,30775.7,39148.1,0.0,0.0,1555.97,4732.1,0.0,0.0,0.0,0.0,19949.6,31608.85,0.0,0.0,58575.75
2022-08-19,SPTM,S10TC,8079.6,11353.7,0.0,0.0,0.0,0.0,10588.7,7044.6,0.0,0.0,920.0,4180.0,0.0,0.0,0.0,0.0,9222.0,5464.6,0.0,0.0,18668.37
2022-08-26,CPTM,C5TC,27175.76,11731.93,0.0,0.0,3587.29,1771.0,24106.55,39929.6,0.0,0.0,380.39,3019.52,0.0,0.0,0.0,0.0,17084.15,22190.6,0.0,0.0,54874.91
2022-08-26,PTCM,P4TC,27369.25,34777.98,0.0,0.0,9807.44,4752.0,22948.2,19223.5,0.0,0.0,1737.66,4735.17,0.0,0.0,0.0,0.0,12394.15,13102.6,0.0,0.0,60121.04
2022-08-26,SPTM,S10TC,6592.0,12959.6,0.0,0.0,2526.8,2455.0,9453.7,2891.8,0.0,0.0,920.0,4165.0,0.0,0.0,0.0,0.0,8402.6,1436.8,0.0,0.0,18573.08
2022-09-02,CPTM,C5TC,25922.87,10214.82,0.0,0.0,3448.61,1629.0,20650.8,36882.6,0.0,0.0,447.75,2813.43,0.0,0.0,0.0,0.0,14767.8,20738.63,0.0,0.0,50026.16
2022-09-02,PTCM,P4TC,22912.46,30661.56,0.0,0.0,9457.9,4527.0,21216.2,16941.2,0.0,0.0,1573.72,4367.31,0.0,0.0,0.0,0.0,11462.15,12333.4,0.0,0.0,53589.8
2022-09-02,SPTM,S10TC,6010.0,12442.8,0.0,0.0,2225.0,2140.0,9182.2,2685.0,0.0,0.0,800.0,4005.0,0.0,0.0,0.0,0.0,8362.8,1415.0,0.0,0.0,17416.92
2022-09-09,CPTM,C5TC,19651.88,9024.25,0.0,0.0,3529.31,1434.0,29989.4,40935.25,0.0,0.0,459.3,3183.1,0.0,0.0,0.0,0.0,20277.9,23036.85,0.0,0.0,53172.7
2022-09-09,PTCM,P4TC,15879.86,10976.26,0.0,0.0,9605.06,4632.0,30587.5,37804.85,0.0,0.0,2348.34,4335.12,0.0,0.0,0.0,0.0,20337.95,31065.15,0.0,0.0,56072.41
2022-09-09,SPTM,S10TC,5552.0,6085.0,0.0,0.0,2153.7,2191.0,11490.6,10566.3,0.0,0.0,1155.0,4040.0,0.0,0.0,0.0,0.0,9116.6,8826.3,0.0,0.0,19195.79
2022-09-16,CPTM,C5TC,27304.53,11804.16,0.0,0.0,0.0,0.0,23293.2,38921.7,0.0,0.0,476.1,3161.62,0.0,0.0,0.0,0.0,17019.2,20474.75,0.0,0.0,50593.4
2022-09-16,PTCM,P4TC,27799.7,29688.87,0.0,0.0,0.0,0.0,24790.7,23768.15,0.0,0.0,2730.73,4385.17,0.0,0.0,0.0,0.0,14332.35,17772.8,0.0,0.0,52589.52
2022-09-16,SPTM,S10TC,7105.1,10656.1,0.0,0.0,0.0,0.0,10121.9,6570.9,0.0,0.0,1200.0,4025.0,0.0,0.0,0.0,0.0,8968.8,4915.9,0.0,0.0,17225.83
2022-09-23,CPTM,C5TC,19290.37,9675.33,0.0,0.0,3579.17,1379.0,31400.55,41461.55,0.0,0.0,467.17,2947.32,0.0,0.0,0.0,0.0,21077.95,22532.95,0.0,0.0,54269.88
2022-09-23,PTCM,P4TC,22625.8,13367.75,0.0,0.0,9810.56,4667.0,28810.5,41705.65,0.0,0.0,2791.1,4397.68,0.0,0.0,0.0,0.0,18115.8,34162.1,0.0,0.0,61246.81
2022-09-23,SPTM,S10TC,6452.0,7670.0,0.0,0.0,2476.8,2145.0,11398.5,10196.4,0.0,0.0,1180.0,4025.0,0.0,0.0,0.0,0.0,8747.6,8611.4,0.0,0.0,20329.05
2022-09-30,CPTM,C5TC,25532.73,10354.11,0.0,0.0,0.0,0.0,19961.0,35215.1,0.0,0.0,406.43,2893.76,0.0,0.0,0.0,0.0,15224.1,19655.85,0.0,0.0,45489.97
2022-09-30,PTCM,P4TC,21679.02,28801.06,0.0,0.0,0.0,0.0,19283.25,12189.75,0.0,0.0,2396.17,4504.57,0.0,0.0,0.0,0.0,10386.75,8140.05,0.0,0.0,40958.47
2022-09-30,SPTM,S10TC,7769.5,13395.7,0.0,0.0,0.0,0.0,7679.7,2053.5,0.0,0.0,1180.0,3915.0,0.0,0.0,0.0,0.0,6941.8,903.5,0.0,0.0,15449.0
2022-10-07,CPTM,C5TC,18930.98,9327.52,0.0,0.0,3401.0,1120.0,26610.25,36854.1,0.0,0.0,709.0,3402.03,0.0,0.0,0.0,0.0,18303.75,22333.5,0.0,0.0,48942.89
2022-10-07,PTCM,P4TC,19618.37,13875.48,0.0,0.0,11067.78,5532.0,25340.05,35539.35,0.0,0.0,2570.52,4633.39,0.0,0.0,0.0,0.0,17341.7,28408.55,0.0,0.0,56024.87
2022-10-07,SPTM,S10TC,9212.8,6935.0,0.0,0.0,2994.8,2221.0,6717.9,9500.6,0.0,0.0,1340.0,3810.0,0.0,0.0,0.0,0.0,4394.0,8345.6,0.0,0.0,18923.66
2022-10-14,CPTM,C5TC,18720.83,8991.47,0.0,0.0,3515.46,1105.0,26355.9,36744.75,0.0,0.0,753.37,3456.09,0.0,0.0,0.0,0.0,18233.1,22482.1,0.0,0.0,48591.26
2022-10-14,PTCM,P4TC,16610.64,13234.45,0.0,0.0,10950.58,5492.0,24265.4,31256.5,0.0,0.0,2638.8,4646.46,0.0,0.0,0.0,0.0,16496.4,24407.65,0.0,0.0,51827.0
2022-10-14,SPTM,S10TC,8840.0,6450.0,0.0,0.0,2914.1,2221.0,6273.7,9032.1,0.0,0.0,1370.0,3810.0,0.0,0.0,0.0,0.0,4049.0,7997.1,0.0,0.0,18027.87
2022-10-21,CPTM,C5TC,22201.64,11169.15,0.0,0.0,3406.17,1155.0,24477.05,35915.5,0.0,0.0,1209.36,3895.47,0.0,0.0,0.0,0.0,16534.35,21797.02,0.0,0.0,50086.04
2022-10-21,PTCM,P4TC,21422.6,18420.41,0.0,0.0,10916.57,5492.0,24062.4,31542.25,0.0,0.0,2737.51,4575.19,0.0,0.0,0.0,0.0,17156.15,24689.8,0.0,0.0,56405.06
2022-10-21,SPTM,S10TC,10234.0,10379.0,0.0,0.0,3110.3,2167.0,5771.1,6232.3,0.0,0.0,1370.0,3810.0,0.0,0.0,0.0,0.0,3504.0,5287.3,0.0,0.0,19115.93
2022-10-28,CPTM,C5TC,23114.7,10756.8,0.0,0.0,5542.14,2543.0,26292.15,39603.2,0.0,0.0,1333.25,3994.25,0.0,0.0,0.0,0.0,20117.05,22915.95,0.0,0.0,54947.02
2022-10-28,PTCM,P4TC,20745.96,26635.43,0.0,0.0,11003.24,5512.0,26856.05,24090.25,0.0,0.0,2696.89,4703.73,0.0,0.0,0.0,0.0,16717.8,17533.45,0.0,0.0,58599.28
2022-10-28,SPTM,S10TC,5266.0,9136.0,0.0,0.0,3901.4,3187.0,10114.5,6789.4,0.0,0.0,1355.0,3780.0,0.0,0.0,0.0,0.0,8950.0,5299.4,0.0,0.0,19280.4
2022-11-04,CPTM,C5TC,16530.78,8303.67,0.0,0.0,5432.11,2775.0,29438.35,37773.75,0.0,0.0,1573.6,3830.29,0.0,0.0,0.0,0.0,21132.85,22765.14,0.0,0.0,51402.74
2022-11-04,PTCM,P4TC,14328.38,12337.38,0.0,0.0,10486.02,5238.0,29675.95,33318.3,0.0,0.0,1968.36,4981.26,0.0,0.0,0.0,0.0,20200.1,26913.4,0.0,0.0,54491.28
2022-11-04,SPTM,S10TC,4008.0,5990.0,0.0,0.0,4180.8,2805.0,10881.6,9844.6,0.0,0.0,1060.0,3600.0,0.0,0.0,0.0,0.0,8520.8,7584.6,0.0,0.0,19070.45
2022-11-11,CPTM,C5TC,21294.07,20926.7,0.0,0.0,5489.96,2790.0,23333.15,23699.85,0.0,0.0,1718.54,3055.73,0.0,0.0,0.0,0.0,15170.95,10304.7,0.0,0.0,50114.15
2022-11-11,PTCM,P4TC,24079.25,20145.24,0.0,0.0,10530.17,4863.0,21478.25,29126.8,0.0,0.0,2160.65,5204.56,0.0,0.0,0.0,0.0,13843.25,22910.6,0.0,0.0,56093.63
2022-11-11,SPTM,S10TC,10158.2,7630.8,0.0,0.0,4140.8,2805.0,5078.0,8509.2,0.0,0.0,1160.0,3555.0,0.0,0.0,0.0,0.0,2751.0,6874.2,0.0,0.0,19374.28
2022-11-18,CPTM,C5TC,16065.85,8894.58,0.0,0.0,5626.62,2700.0,31817.91,39139.21,0.0,0.0,1675.15,3194.19,0.0,0.0,0.0,0.0,21435.71,23280.24,0.0,0.0,53511.45
2022-11-18,PTCM,P4TC,18394.23,14307.28,0.0,0.0,10694.44,4979.0,31749.9,38192.6,0.0,0.0,2843.19,5053.65,0.0,0.0,0.0,0.0,22916.85,31274.55,0.0,0.0,60835.22
2022-11-18,SPTM,S10TC,4698.0,6985.0,0.0,0.0,3784.2,2775.0,11715.0,10002.8,0.0,0.0,1160.0,3645.0,0.0,0.0,0.0,0.0,9043.6,8559.3,0.0,0.0,20198.28
2022-11-25,CPTM,C5TC,17569.74,9187.43,0.0,0.0,5669.61,2875.0,30900.7,39508.15,0.0,0.0,1874.78,2756.87,0.0,0.0,0.0,0.0,20549.1,23720.01,0.0,0.0,54135.77
2022-11-25,PTCM,P4TC,22255.25,19292.19,0.0,0.0,10935.34,4904.0,28762.2,34319.85,0.0,0.0,3536.63,5780.62,0.0,0.0,0.0,0.0,20277.3,27955.95,0.0,0.0,61947.45
2022-11-25,SPTM,S10TC,5738.0,9841.0,0.0,0.0,3580.3,2773.0,10753.4,7023.3,0.0,0.0,1130.0,3660.0,0.0,0.0,0.0,0.0,8062.0,5747.3,0.0,0.0,20073.55
2022-12-02,CPTM,C5TC,15708.05,8184.89,0.0,0.0,9288.12,4997.3,23599.8,32840.35,0.0,0.0,1788.69,2697.95,0.0,0.0,0.0,0.0,15104.0,19910.19,0.0,0.0,48599.26
2022-12-02,PTCM,P4TC,20098.25,16784.99,0.0,0.0,16878.95,5277.45,17885.95,29296.9,0.0,0.0,3134.18,5749.08,0.0,0.0,0.0,0.0,13485.95,24024.3,0.0,0.0,54864.88
2022-12-02,SPTM,S10TC,5141.0,8677.2,0.0,0.0,3700.1,2945.5,9095.2,5938.9,0.0,0.0,840.0,3300.0,0.0,0.0,0.0,0.0,7035.2,5338.9,0.0,0.0,17935.71
2022-12-09,CPTM,C5TC,25131.9,11356.56,0.0,0.0,6129.67,2958.0,18727.54,34158.99,0.0,0.0,2273.38,3004.45,0.0,0.0,0.0,0.0,12580.74,21414.25,0.0,0.0,49993.43
2022-12-09,PTCM,P4TC,21632.89,25977.74,0.0,0.0,11201.3,4425.0,20066.95,20035.15,0.0,0.0,3153.47,5820.69,0.0,0.0,0.0,0.0,12586.4,14660.3,0.0,0.0,52905.22
2022-12-09,SPTM,S10TC,8159.0,7927.0,0.0,0.0,3417.3,2658.0,4732.0,5663.3,0.0,0.0,840.0,3125.0,0.0,0.0,0.0,0.0,3865.0,4232.8,0.0,0.0,16306.0
2022-12-16,CPTM,C5TC,17903.4,10761.77,0.0,0.0,7068.91,4870.0,30176.7,39002.95,0.0,0.0,2789.82,3653.2,0.0,0.0,0.0,0.0,19825.9,25279.65,0.0,0.0,55147.48
2022-12-16,PTCM,P4TC,20288.38,17701.46,0.0,0.0,11959.25,5990.0,28770.7,34743.85,0.0,0.0,3438.42,6171.97,0.0,0.0,0.0,0.0,20123.8,27635.85,0.0,0.0,61019.51
2022-12-16,SPTM,S10TC,5221.0,8858.2,0.0,0.0,3276.9,2569.0,9898.2,6788.9,0.0,0.0,840.0,3185.0,0.0,0.0,0.0,0.0,7596.2,5486.9,0.0,0.0,18394.72
2022-12-23,CPTM,C5TC,25076.37,22834.35,0.0,0.0,10715.2,6185.0,11110.1,17257.6,0.0,0.0,2773.8,3661.93,0.0,0.0,0.0,0.0,6932.4,6282.2,0.0,0.0,46897.85
2022-12-23,PTCM,P4TC,25399.04,31216.63,0.0,0.0,17540.25,7310.0,8115.4,11193.2,0.0,0.0,3328.27,5794.45,0.0,0.0,0.0,0.0,4803.1,7008.2,0.0,0.0,51040.25
2022-12-23,SPTM,S10TC,9184.8,8357.0,0.0,0.0,3179.0,2944.0,2405.0,3467.8,0.0,0.0,660.0,3125.0,0.0,0.0,0.0,0.0,1895.0,2942.8,0.0,0.0,14772.73
2022-12-30,CPTM,C5TC,26921.3,13097.14,0.0,0.0,0.0,0.0,20096.7,34067.55,0.0,0.0,2756.06,3646.79,0.0,0.0,0.0,0.0,14930.6,22171.0,0.0,0.0,47020.82
2022-12-30,PTCM,P4TC,25932.41,29992.08,0.0,0.0,0.0,0.0,20578.55,15433.9,0.0,0.0,3361.42,5783.95,0.0,0.0,0.0,0.0,12738.3,9775.5,0.0,0.0,46515.71
2022-12-30,SPTM,S10TC,6029.0,10881.6,0.0,0.0,0.0,0.0,7208.6,2356.0,0.0,0.0,660.0,3140.0,0.0,0.0,0.0,0.0,6541.6,1245.0,0.0,0.0,13236.5
2023-01-06,CPTM,C5TC,15261.79,9146.27,0.0,0.0,6925.55,4812.0,29981.1,37504.6,0.0,0.0,3087.78,3804.53,0.0,0.0,0.0,0.0,20368.52,24506.7,0.0,0.0,52168.26
2023-01-06,PTCM,P4TC,15957.66,13238.79,0.0,0.0,11496.25,6091.0,33541.7,39227.6,0.0,0.0,3499.92,6009.29,0.0,0.0,0.0,0.0,23538.6,30602.6,0.0,0.0,60996.0
2023-01-06,SPTM,S10TC,4024.0,5570.0,0.0,0.0,2941.0,2857.0,10635.0,9053.0,0.0,0.0,660.0,3155.0,0.0,0.0,0.0,0.0,8343.0,7807.0,0.0,0.0,17598.87
2023-01-13,CPTM,C5TC,17730.43,10248.45,0.0,0.0,6883.15,4922.0,29588.3,38249.85,0.0,0.0,2948.76,4045.5,0.0,0.0,0.0,0.0,19271.2,25100.2,0.0,0.0,54200.95
2023-01-13,PTCM,P4TC,20042.61,17576.15,0.0,0.0,12421.15,6325.0,33000.35,38039.95,0.0,0.0,3768.43,6319.47,0.0,0.0,0.0,0.0,21842.1,28504.35,0.0,0.0,65463.9
2023-01-13,SPTM,S10TC,5094.0,9074.0,0.0,0.0,2849.0,3303.0,10551.0,5997.0,0.0,0.0,1560.0,3355.0,0.0,0.0,0.0,0.0,7969.0,4704.0,0.0,0.0,18494.3
2023-01-20,CPTM,C5TC,18151.5,8421.55,0.0,0.0,7490.05,5142.0,25878.39,37019.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17901.1,23615.54,0.0,0.0,51519.79
2023-01-20,PTCM,P4TC,14328.95,22466.95,0.0,0.0,12860.9,6225.0,31994.55,28515.3,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,19641.35,18944.45,0.0,0.0,59183.41
2023-01-20,SPTM,S10TC,5625.0,9995.0,0.0,0.0,2954.0,3816.0,12023.43,6791.43,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,10275.98,5352.0,0.0,0.0,20602.18
2023-01-27,CPTM,C5TC,22035.2,13876.45,0.0,0.0,0.0,0.0,33999.6,41977.4,0.0,0.0,3508.24,4159.33,0.0,0.0,0.0,0.0,22062.0,26609.7,0.0,0.0,56030.98
2023-01-27,PTCM,P4TC,23456.84,18469.28,0.0,0.0,0.0,0.0,41854.6,46534.7,0.0,0.0,4615.65,7345.88,0.0,0.0,0.0,0.0,28840.95,35828.9,0.0,0.0,65316.17
2023-01-27,SPTM,S10TC,6906.0,11835.0,0.0,0.0,0.0,0.0,16441.6,11392.6,0.0,0.0,660.0,4395.0,0.0,0.0,0.0,0.0,13644.6,9763.6,0.0,0.0,23347.91
2023-02-03,CPTM,C5TC,23944.0,13472.0,0.0,0.0,7851.05,5212.0,22632.98,34830.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17507.18,21082.1,0.0,0.0,54432.37
2023-02-03,PTCM,P4TC,15987.8,23752.65,0.0,0.0,12790.75,5586.0,23625.05,21193.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14778.95,14981.55,0.0,0.0,52406.94
2023-02-03,SPTM,S10TC,9250.8,6879.0,0.0,0.0,3099.0,4654.0,6142.0,6958.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5510.0,5311.8,0.0,0.0,18494.43
2023-02-10,CPTM,C5TC,16605.96,9615.4,0.0,0.0,8456.8,5587.0,37299.0,46235.4,0.0,0.0,3159.6,4195.48,0.0,0.0,0.0,0.0,26124.1,29293.7,0.0,0.0,62362.48
2023-02-10,PTCM,P4TC,13848.53,14799.29,0.0,0.0,12548.15,5755.0,40218.5,44012.0,0.0,0.0,4535.22,7771.83,0.0,0.0,0.0,0.0,27900.3,34850.9,0.0,0.0,66620.01
2023-02-10,SPTM,S10TC,6597.0,7259.0,0.0,0.0,3293.5,4573.0,13519.4,11457.9,0.0,0.0,665.0,4225.0,0.0,0.0,0.0,0.0,11549.4,9287.4,0.0,0.0,23410.22
2023-02-17,CPTM,C5TC,16177.98,10663.26,0.0,0.0,9294.25,5911.0,39386.9,47169.2,0.0,0.0,3146.14,4203.01,0.0,0.0,0.0,0.0,27121.1,30110.0,0.0,0.0,64855.75
2023-02-17,PTCM,P4TC,15374.53,17551.69,0.0,0.0,12979.2,5986.0,43514.9,45958.9,0.0,0.0,5119.35,8453.78,0.0,0.0,0.0,0.0,30949.6,35933.85,0.0,0.0,71866.06
2023-02-17,SPTM,S10TC,6602.0,10504.0,0.0,0.0,3206.5,4846.0,17272.0,11610.5,0.0,0.0,665.0,4375.0,0.0,0.0,0.0,0.0,15042.0,9735.0,0.0,0.0,27080.59
2023-02-24,CPTM,C5TC,21171.95,14870.45,0.0,0.0,10222.9,5781.0,34289.1,43882.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25414.5,26008.7,0.0,0.0,65687.93
2023-02-24,PTCM,P4TC,12812.15,23598.65,0.0,0.0,12596.75,5986.0,35544.4,29159.15,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,23810.85,20360.7,0.0,0.0,60957.64
2023-02-24,SPTM,S10TC,8045.0,11469.0,0.0,0.0,3155.5,4761.0,15016.8,9987.3,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0,14131.8,7997.8,0.0,0.0,26216.48
2023-03-03,CPTM,C5TC,24627.38,16128.91,0.0,0.0,0.0,0.0,33737.0,42622.45,0.0,0.0,5469.68,6081.99,0.0,0.0,0.0,0.0,22739.6,26999.8,0.0,0.0,58398.82
2023-03-03,PTCM,P4TC,24614.31,22434.31,0.0,0.0,0.0,0.0,41368.55,44181.1,0.0,0.0,5334.1,9651.31,0.0,0.0,0.0,0.0,31208.45,35910.45,0.0,0.0,65989.07
